id,predicted_price
2591820310,382852.88
7974200820,851003.7
7701450110,1.0624196e+06
9522300010,2.0147199e+06
9510861140,678213.8
1761300310,255973.52
7732410120,764068.75
7010701383,557522.2
291310170,434998.4
4232901990,521477.8
6840701125,586584.6
3971700580,413006.1
4202400078,217361.12
6064800090,372579.34
2626119028,246196.17
3303980660,931899.94
862000020,771401.4
2386000070,916794.4
1138000450,362140.2
1775800420,448105.78
2291401425,418591.25
2025770560,847479.8
3525069037,707453.1
9324800450,576110.9
8080400136,532616.25
8651540040,516245.1
9407001790,237226.94
1773101530,219471.17
9432900250,349617.84
1794500695,636375.4
2220069003,343321.53
923000120,503461.2
5728000060,556013.7
16000200,247333.06
1926059094,439394.62
6672900220,916060.25
3629860060,862747.2
1822069109,405895.56
6675500105,363749.34
249000180,1.9013142e+06
226059065,441409.38
396100110,278558.22
9264450460,351800.56
7853361210,367409.4
9474700020,285144.75
421000455,246895.66
3755200220,410215.5
7960100075,509160.75
9477100490,395187.2
9138100350,766966.4
1624049275,469983.66
2770606890,469172.66
1157200189,383222.56
2770601800,510311.4
9301300805,518428.25
2325069032,1.0524682e+06
1021079099,351982.1
7215730040,734264.6
1853200080,467908.1
3224600340,727262.1
3222049120,418662.72
2113700025,300543.72
7893207925,198032.94
3586501085,531885.3
8024200010,378660.34
7116500705,172543.53
1598600209,280263.6
7204200025,1.0878954e+06
4206901505,564052.1
2937300440,906149.7
7205000180,308672.8
8718500665,359258.25
5318101765,901574.25
4122700020,928837.06
8078700020,490476.25
3303980680,967871.8
8924100372,1.103174e+06
2781270210,208699.86
519000043,563124.94
3225069301,1.4329674e+06
151000075,761917.1
2297400020,413938.28
6617500085,635734.8
104510180,222720.38
3528900060,961909.0
3345100286,508011.25
1226039130,449985.78
8712100720,786450.94
3037200010,432811.03
3626039268,406186.38
104510230,250359.31
5112800060,431043.5
6072400280,668039.2
5317100570,1.03366406e+06
9528102993,520593.84
2919201095,527358.25
6181400920,262302.3
185000161,241689.77
8691400010,771390.4
3345700165,531071.3
6151800486,221955.12
4340000080,1.334487e+06
4136960010,525458.56
3634100030,326182.75
1624059224,1.0034201e+06
2788400090,242633.86
9828200762,460058.94
7524400250,478101.97
3528000290,740811.56
5700003630,1.9312925e+06
2720069019,315776.5
7227501170,215838.94
2397101270,566382.4
6792100090,698560.5
2770602265,551424.75
3971700937,290818.38
422049203,213329.81
3076500830,284699.4
1423400260,315196.44
9161100795,499294.12
3126049052,482081.12
5100401468,363750.4
514500235,394683.25
1423200170,182800.4
1402100070,413753.16
624110020,721064.56
2407000145,198410.83
1890000225,774341.56
1320069271,318357.3
5490700085,350851.34
263000155,477808.88
3726800201,483612.22
5153200358,303236.78
2725079018,760052.0
7165700200,261977.81
9429000170,579953.1
8718500075,348342.5
1760650950,320390.06
1068000559,1.33071e+06
4113800500,653323.1
4077800507,520229.06
2725069150,757634.9
4008400035,682578.8
7016310270,396198.53
1432701230,231379.11
3278606050,410800.0
2473350710,409576.0
2185000685,174562.11
7792000025,377805.8
6868200029,484986.75
624069003,761354.2
7431500280,846532.3
3296000040,574177.44
1118001215,1.4249924e+06
6453900040,729805.0
333100209,782760.5
34001765,596161.94
8946700100,366894.7
5561401210,543745.7
6671900095,378218.97
3275850020,725382.2
3876300600,403921.56
1450900020,259740.34
8562780280,312900.47
7663700973,316140.5
2126049032,375431.34
1823059159,176279.72
3438503426,317054.75
9297301495,565473.5
7140700850,389230.34
7942601805,679882.7
2555900030,362689.72
2887970040,282159.12
